time,microjax,vbmicrolensing,relative_difference
-2.777777777777777679e+00,2.958259976853589546e+00,2.958357006654675381e+00,3.279854353871806928e-05
-2.762762762762762669e+00,2.967482845281124604e+00,2.967578663406917894e+00,3.228831874781250706e-05
-2.747747747747747660e+00,2.976916761298386227e+00,2.977011435051729382e+00,3.180160889825743326e-05
-2.732732732732732650e+00,2.986563705037463823e+00,2.986657300490866085e+00,3.133786169135620309e-05
-2.717717717717717640e+00,2.996425745089219106e+00,2.996517629826846996e+00,3.066384015674864308e-05
-2.702702702702702631e+00,3.006505041072201401e+00,3.006595971104438547e+00,3.024351562732399882e-05
-2.687687687687687621e+00,3.016803846250504684e+00,3.016894584649065791e+00,3.007675476061176867e-05
-2.672672672672672611e+00,3.027324510198888152e+00,3.027414282486110775e+00,2.965312271332141302e-05
-2.657657657657657602e+00,3.038069481513163250e+00,3.038158486819420911e+00,2.929580752412915191e-05
-2.642642642642642592e+00,3.049041310584434950e+00,3.049129608645966272e+00,2.895844810300896258e-05
-2.627627627627627582e+00,3.060242652432680011e+00,3.060330302126689439e+00,2.864059933286246967e-05
-2.612612612612612573e+00,3.071676269609522336e+00,3.071763329017856758e+00,2.834183464331479455e-05
-2.597597597597597563e+00,3.083345035200852458e+00,3.083431561662013820e+00,2.806174206594795671e-05
-2.582582582582582553e+00,3.095251935894996809e+00,3.095337396953037779e+00,2.760960990071559018e-05
-2.567567567567567544e+00,3.107400075181364851e+00,3.107485113224747408e+00,2.736555133302313983e-05
-2.552552552552552534e+00,3.119792676597873626e+00,3.119877937915559230e+00,2.732841456693900172e-05
-2.537537537537537524e+00,3.132433087144253836e+00,3.132518038754240841e+00,2.711927239875982132e-05
-2.522522522522522515e+00,3.145324780803792297e+00,3.145409477213822136e+00,2.692699015609948925e-05
-2.507507507507507505e+00,3.158471362148483230e+00,3.158555857489367291e+00,2.675125744055181887e-05
-2.492492492492492495e+00,3.171876570149428254e+00,3.171960918223028170e+00,2.659177580509681702e-05
-2.477477477477477485e+00,3.185544282081978817e+00,3.185628536421857504e+00,2.644826253764107313e-05
-2.462462462462462476e+00,3.199478517599474880e+00,3.199562731533654336e+00,2.632045102584664367e-05
-2.447447447447447466e+00,3.213683442959485159e+00,3.213767058107148245e+00,2.601779971953945632e-05
-2.432432432432432456e+00,3.228163375454231154e+00,3.228247054424306484e+00,2.592086933391527491e-05
-2.417417417417417447e+00,3.242922787961040498e+00,3.243006583966583367e+00,2.583898717848926501e-05
-2.402402402402402437e+00,3.257966313749586451e+00,3.258050280056575598e+00,2.577194940886214336e-05
-2.387387387387387427e+00,3.273298751434041254e+00,3.273382941438232940e+00,2.571957076146300379e-05
-2.372372372372372418e+00,3.288925070175840570e+00,3.289010158517068572e+00,2.587050119248200154e-05
-2.357357357357357408e+00,3.304850415073270042e+00,3.304935835745054895e+00,2.584639340376050206e-05
-2.342342342342342398e+00,3.321080112828490360e+00,3.321165919810076694e+00,2.583640313617356385e-05
-2.327327327327327389e+00,3.337619677588850031e+00,3.337705300729103097e+00,2.565329546451035106e-05
-2.312312312312312379e+00,3.354474817128432651e+00,3.354560935424812484e+00,2.567200239840857019e-05
-2.297297297297297369e+00,3.371651439227636882e+00,3.371738108280292412e+00,2.570456241624726794e-05
-2.282282282282282360e+00,3.389155658388530501e+00,3.389242934410506614e+00,2.575088999670440863e-05
-2.267267267267267350e+00,3.406993802795015291e+00,3.407081742706011163e+00,2.581091903184763156e-05
-2.252252252252252340e+00,3.425172421645258591e+00,3.425261083134164330e+00,2.588459295622876641e-05
-2.237237237237237331e+00,3.443698292749148404e+00,3.443787734367436570e+00,2.597187317777446583e-05
-2.222222222222222321e+00,3.462578430520661055e+00,3.462668711753370765e+00,2.607273182192328578e-05
-2.207207207207207311e+00,3.481820094276806721e+00,3.481911275646458304e+00,2.618716056590326044e-05
-2.192192192192192302e+00,3.501430796980574023e+00,3.501522940115547655e+00,2.631515958898492864e-05
-2.177177177177177292e+00,3.521418314301400176e+00,3.521511482043951702e+00,2.645674819650142341e-05
-2.162162162162162282e+00,3.541790694154750341e+00,3.541885392624333662e+00,2.673674020636639481e-05
-2.147147147147147273e+00,3.562556266645915404e+00,3.562652124858312952e+00,2.690641944204993303e-05
-2.132132132132132263e+00,3.583723654468105924e+00,3.583820739437840963e+00,2.708979516376935722e-05
-2.117117117117117253e+00,3.605301783795361370e+00,3.605400164133140350e+00,2.728693995126458448e-05
-2.102102102102102243e+00,3.627299895660586859e+00,3.627399965197477538e+00,2.758712517251489602e-05
-2.087087087087087234e+00,3.649727557858103655e+00,3.649829088593975701e+00,2.781794254129280503e-05
-2.072072072072072224e+00,3.672594677419840803e+00,3.672697744481203230e+00,2.806303936045420207e-05
-2.057057057057057214e+00,3.695911513642291535e+00,3.696016194266896981e+00,2.832255572035174228e-05
-2.042042042042042205e+00,3.719688691736457109e+00,3.719795065399154055e+00,2.859664600515602416e-05
-2.027027027027027195e+00,3.743937217092685454e+00,3.744042819009391732e+00,2.820531757011731657e-05
-2.012012012012012185e+00,3.768668490241710689e+00,3.768775861075173150e+00,2.848957789488441633e-05
-1.996996996996997176e+00,3.793894322484923531e+00,3.794003544951638052e+00,2.878818256768722822e-05
-1.981981981981982166e+00,3.819626952255366525e+00,3.819737869753207171e+00,2.903798679981464890e-05
-1.966966966966967156e+00,3.845879062259286663e+00,3.845992051646505594e+00,2.937847652871761436e-05
-1.951951951951952147e+00,3.872663797407192021e+00,3.872778953732714857e+00,2.973480461926299889e-05
-1.936936936936937137e+00,3.899994783570269519e+00,3.900111556119968181e+00,2.994082297862116213e-05
-1.921921921921922127e+00,3.927886147230907898e+00,3.928005247311864512e+00,3.032075403619170220e-05
-1.906906906906907118e+00,3.956352536031300993e+00,3.956474809512694257e+00,3.090465307633910239e-05
-1.891891891891892108e+00,3.985409140300920416e+00,3.985533995948316033e+00,3.132720672375252993e-05
-1.876876876876877098e+00,4.015071715539767716e+00,4.015199267175103337e+00,3.176719929652707864e-05
-1.861861861861862089e+00,4.045356606004335553e+00,4.045482268677254467e+00,3.106247032445933224e-05
-1.846846846846847079e+00,4.076276052564902663e+00,4.076409164531853868e+00,3.265422129588696601e-05
-1.831831831831832069e+00,4.107857104614580201e+00,4.107993047028386968e+00,3.309217232125155481e-05
-1.816816816816817060e+00,4.140113289018802156e+00,4.140252183415225495e+00,3.354732761924841036e-05
-1.801801801801802050e+00,4.173063562807139526e+00,4.173205535343201156e+00,3.402002006832717063e-05
-1.786786786786786596e+00,4.206727606301016387e+00,4.206873939057085288e+00,3.478420275690492514e-05
-1.771771771771771586e+00,4.241125853135051749e+00,4.241275595792864728e+00,3.530604282388918685e-05
-1.756756756756756577e+00,4.276279522049812876e+00,4.276432823125611904e+00,3.584788587582248421e-05
-1.741741741741741567e+00,4.312210653308034658e+00,4.312372958669107526e+00,3.763713450307843984e-05
-1.726726726726726557e+00,4.348942152706914754e+00,4.349108560475903218e+00,3.826250061926582332e-05
-1.711711711711711548e+00,4.386497788744707194e+00,4.386662708811530642e+00,3.759579383483758807e-05
-1.696696696696696538e+00,4.424902313537852905e+00,4.425073449018112726e+00,3.867404286764875775e-05
-1.681681681681681528e+00,4.464181356020844760e+00,4.464356921831353908e+00,3.932611428324785254e-05
-1.666666666666666519e+00,4.504361647810419811e+00,4.504541817302524009e+00,3.999729593188464593e-05
-1.651651651651651509e+00,4.545470920153710459e+00,4.545655885507780880e+00,4.069057551411178167e-05
-1.636636636636636499e+00,4.587538002882503463e+00,4.587727971547638006e+00,4.140800551224896276e-05
-1.621621621621621490e+00,4.630592875244002649e+00,4.630788060774479575e+00,4.214952788063525325e-05
-1.606606606606606480e+00,4.674666702977722466e+00,4.674867325438696319e+00,4.291511330859579422e-05
-1.591591591591591470e+00,4.719791884549032979e+00,4.719998205484333909e+00,4.371207918282643095e-05
-1.576576576576576461e+00,4.766002101253906886e+00,4.766214324741100405e+00,4.452663534073178031e-05
-1.561561561561561451e+00,4.813332368309522380e+00,4.813537959182777826e+00,4.271096956101495253e-05
-1.546546546546546441e+00,4.861819086358476483e+00,4.862030634477534363e+00,4.351023984870739140e-05
-1.531531531531531432e+00,4.911500093417545010e+00,4.911717852553002750e+00,4.433461815086828738e-05
-1.516516516516516422e+00,4.962414717169931322e+00,4.962638951895235628e+00,4.518457366693400391e-05
-1.501501501501501412e+00,5.014603827316803653e+00,5.014834813373124867e+00,4.606055132768093326e-05
-1.486486486486486402e+00,5.068109887619696607e+00,5.068351144392104324e+00,4.760064279971126409e-05
-1.471471471471471393e+00,5.122977007027714080e+00,5.123225770301012005e+00,4.855598493042970063e-05
-1.456456456456456383e+00,5.179250989291198870e+00,5.179507579187434985e+00,4.953943831787357510e-05
-1.441441441441441373e+00,5.236979380256561178e+00,5.237244129824583538e+00,5.055131314476789234e-05
-1.426426426426426364e+00,5.296211511878953893e+00,5.296489509526898232e+00,5.248715162076680516e-05
-1.411411411411411354e+00,5.356998541889418597e+00,5.357285524753903516e+00,5.356870810019078680e-05
-1.396396396396396344e+00,5.419393487723152880e+00,5.419691512824437396e+00,5.498931084533296521e-05
-1.381381381381381335e+00,5.483451253136140124e+00,5.483550308153319897e+00,1.806402998300031022e-05
-1.366366366366366325e+00,5.549228645641517410e+00,5.549311766101567400e+00,1.497851689604798031e-05
-1.351351351351351315e+00,5.616784382478797966e+00,5.616870082950654819e+00,1.525769166657190531e-05
-1.336336336336336306e+00,5.686179082523145745e+00,5.686267894757908614e+00,1.561872152466545598e-05
-1.321321321321321296e+00,5.757475240843529463e+00,5.757566865963788416e+00,1.591386125284989238e-05
-1.306306306306306286e+00,5.830737182619166070e+00,5.830838291421818198e+00,1.734035443940823307e-05
-1.291291291291291277e+00,5.906030991545551778e+00,5.906135329889963259e+00,1.766609442276779855e-05
-1.276276276276276267e+00,5.983424408072004930e+00,5.983532094739753227e+00,1.799717391721962926e-05
-1.261261261261261257e+00,6.062986691334023348e+00,6.063096352513853482e+00,1.808666289538128315e-05
-1.246246246246246248e+00,6.144788437781389945e+00,6.144901611052857149e+00,1.841742612503979515e-05
-1.231231231231231238e+00,6.228901348910314439e+00,6.229018050485230162e+00,1.873514797515029039e-05
-1.216216216216216228e+00,6.315397937423870900e+00,6.315526879345072508e+00,2.041665306236174903e-05
-1.201201201201201219e+00,6.404351162471599856e+00,6.404476148831889759e+00,1.951546970983705393e-05
-1.186186186186186209e+00,6.495833980168736588e+00,6.495972049010201310e+00,2.125453133465377551e-05
-1.171171171171171199e+00,6.589918795198936863e+00,6.590061577177880103e+00,2.166625869441197042e-05
-1.156156156156156189e+00,6.686676796638241882e+00,6.686824279583107433e+00,2.205575303000875567e-05
-1.141141141141141180e+00,6.786177158841603330e+00,6.786329123269617014e+00,2.239272886023376924e-05
-1.126126126126126170e+00,6.888486085494974986e+00,6.888643503859363193e+00,2.285186688787319394e-05
-1.111111111111111160e+00,6.993665672016867063e+00,6.993827483134845480e+00,2.313627528969128426e-05
-1.096096096096096151e+00,7.101772558592839957e+00,7.101938679420663370e+00,2.339091272426530930e-05
