time,microjax,vbmicrolensing,relative_difference
-2.807807807807807698e+00,2.940535930278439736e+00,2.940539549396253616e+00,1.230766583167737029e-06
-2.792792792792792689e+00,2.949340921320441122e+00,2.949344571835775142e+00,1.237737824491351331e-06
-2.777777777777777679e+00,2.958353323729671747e+00,2.958357006654675381e+00,1.244922433414744062e-06
-2.762762762762762669e+00,2.967574947046166312e+00,2.967578663406917894e+00,1.252320889555008732e-06
-2.747747747747747660e+00,2.977007684194300730e+00,2.977011435051729382e+00,1.259940551282259150e-06
-2.732732732732732650e+00,2.986653514039217860e+00,2.986657300490866085e+00,1.267789125857234401e-06
-2.717717717717717640e+00,2.996514503960521658e+00,2.996517629826846996e+00,1.043166338893904462e-06
-2.702702702702702631e+00,3.006592812414486726e+00,3.006595971104438547e+00,1.050586770613111268e-06
-2.687687687687687621e+00,3.016890691552640114e+00,3.016894584649065791e+00,1.290431705995676310e-06
-2.672672672672672611e+00,3.027410489890561607e+00,3.027414282486110775e+00,1.252750761964933686e-06
-2.657657657657657602e+00,3.038154655017701877e+00,3.038158486819420911e+00,1.261225092653285234e-06
-2.642642642642642592e+00,3.049125736374819429e+00,3.049129608645966272e+00,1.269959511023424164e-06
-2.627627627627627582e+00,3.060326388086490379e+00,3.060330302126689439e+00,1.278960050926562652e-06
-2.612612612612612573e+00,3.071759371859577481e+00,3.071763329017856758e+00,1.288236708178518304e-06
-2.597597597597597563e+00,3.083427559994031952e+00,3.083431561662013820e+00,1.297796919387691461e-06
-2.582582582582582553e+00,3.095333938443494137e+00,3.095337396953037779e+00,1.117328775546633523e-06
-2.567567567567567544e+00,3.107481610029470875e+00,3.107485113224747408e+00,1.127340968303976143e-06
-2.552552552552552534e+00,3.119873797666149695e+00,3.119877937915559230e+00,1.327054933533892770e-06
-2.537537537537537524e+00,3.132513847788974459e+00,3.132518038754240841e+00,1.337890225860771339e-06
-2.522522522522522515e+00,3.145405233882910156e+00,3.145409477213822136e+00,1.349055168403090836e-06
-2.507507507507507505e+00,3.158551560064768449e+00,3.158555857489367291e+00,1.360566281787527952e-06
-2.492492492492492495e+00,3.171956564917111532e+00,3.171960918223028170e+00,1.372433655039049687e-06
